titulo,modalidade,numero,ano,situacao,link_pdf
Edital de referência nº 28/2022 -  Processo de seleção de bolsista discente para o projeto “Malungu nagoma vem!”: para além das Cotas no Campus Barbacena,Ensino,28,2.022,Aberto(a),https://www.ifsudestemg.edu.br/editais/barbacena/ensino/2023/edital-de-referencia-no-28-2022-processo-de-selecao-de-bolsista-discente-para-o-projeto-201cmalungu-nagoma-vem-201d-para-alem-das-cotas-no-campus-barbacena/edital_bolsista_assinado.pdf/view
Edital de referência nº 28/2022: seleção de bolsista para o Projeto Em conto com a literatura afro-brasileira: clube de leitura on-line,Ensino,28,2.022,Aberto(a),https://www.ifsudestemg.edu.br/editais/barbacena/ensino/2023/edital-de-referencia-no-28-2022-selecao-de-bolsista-para-o-projeto-em-conto-com-a-literatura-afro-brasileira-clube-de-leitura-on-line/edital_bolsista_af_2023_assinado-1.pdf/view
Edital 22/23: VII Festival de Dança do IF Sudeste de Minas Gerais - Campus Barbacena “IFlashback: Uma viagem no tempo”,Extensão,22,2.023,Aberto(a),https://www.ifsudestemg.edu.br/editais/barbacena/extensao/2023/edital-22-23-vii-festival-de-danca-do-if-sudeste-de-minas-gerais-campus-barbacena-201ciflashback-uma-viagem-no-tempo201d/edital_do_festival_de_danca_2023_assinado_assinado_-1-_assinado.pdf/view
2023/15: IX FEIRA CIENTÍFICA DE BARBACENA (IX FECIB),Extensão,15,2.023,Aberto(a),https://www.ifsudestemg.edu.br/editais/barbacena/extensao/2022/15-2023-ix-feira-cientifica-de-barbacena-ix-fecib/edital_ix_fecib_2023-docx_assinado_assinado.pdf/view
"2023/21: Edital para eleição de discentes - titulares e suplentes - para compor os colegiados dos cursos técnicos concomitantes e subsequentes do Instituto Federal de Educação, Ciência e Tecnologia do Sudeste de Minas Gerais - Campus Barbacena",Eleição,21,2.023,Aberto(a),https://www.ifsudestemg.edu.br/editais/barbacena/eleicao/21-2023-edital-para-eleicao-de-discentes-titulares-e-suplentes-para-compor-os-colegiados-dos-cursos-tecnicos-concomitantes-e-subsequentes-do-instituto-federal-de-educacao-ciencia-e-tecnologia-do-sudeste-de-minas-gerais-campus-barbacena/edital-conc_sub-21.pdf/view
"2023/20: Edital para eleição de discentes - titulares e suplentes - para compor os colegiados dos cursos técnicos integrados do Instituto Federal de Educação, Ciência e Tecnologia do Sudeste de Minas Gerais - Campus Barbacena",Eleição,20,2.023,Aberto(a),https://www.ifsudestemg.edu.br/editais/barbacena/eleicao/20-2023-edital-para-eleicao-de-discentes-titulares-e-suplentes-para-compor-os-colegiados-dos-cursos-tecnicos-integrados-do-instituto-federal-de-educacao-ciencia-e-tecnologia-do-sudeste-de-minas-gerais-campus-barbacena/edital-integrado-20.pdf/view
"2023/19: Edital para eleição de docentes - titulares e suplentes - para compor os colegiados dos cursos técnicos integrados do Instituto Federal de Educação, Ciência e Tecnologia do Sudeste de Minas Gerais - Campus Barbacena",Eleição,19,2.023,Aberto(a),https://www.ifsudestemg.edu.br/editais/barbacena/eleicao/19-2023-edital-para-eleicao-de-docentes-titulares-e-suplentes-para-compor-os-colegiados-dos-cursos-tecnicos-integrados-do-instituto-federal-de-educacao-ciencia-e-tecnologia-do-sudeste-de-minas-gerais-campus-barbacena/edital-docentes-19.pdf/view
EDITAL Nº 12 /2023: Processo de seleção para o Programa de atendimento aos estudantes em baixa condição socioeconômica do IF Sudeste MG - Campus Barbacena 1º  semestre letivo de 2023,Assistência Estudantil,12,2.023,Aberto(a),https://www.ifsudestemg.edu.br/editais/barbacena/assistencia-estudantil/2023/edital-no-12-2023-processo-de-selecao-para-o-programa-de-atendimento-aos-estudantes-em-baixa-condicao-socioeconomica-do-if-sudeste-mg-campus-barbacena-1o-semestre-letivo-de-2023/edital-2023-barbacena-docx.pdf/view
"2023/17: Edital para eleição de docentes - titulares e suplentes - para compor os colegiados dos cursos de graduação do Instituto Federal de Educação, Ciência e Tecnologia do Sudeste de Minas Gerais - Campus Barbacena",Eleição,17,2.023,Aberto(a),https://www.ifsudestemg.edu.br/editais/barbacena/eleicao/17-2023-edital-para-eleicao-de-docentes-titulares-e-suplentes-para-compor-os-colegiados-dos-cursos-de-graduacao-do-instituto-federal-de-educacao-ciencia-e-tecnologia-do-sudeste-de-minas-gerais-campus-barbacena/edital-17-membros-docente-do-colegiado-2023.pdf/view
"2023/16: Edital para eleição de discentes - titulares e suplentes - para compor os colegiados dos cursos de graduação do Instituto Federal de Educação, Ciência e Tecnologia do Sudeste de Minas Gerais -  Campus Barbacena",Eleição,16,2.023,Aberto(a),https://www.ifsudestemg.edu.br/editais/barbacena/eleicao/16-2023-edital-para-eleicao-de-discentes-titulares-e-suplentes-para-compor-os-colegiados-dos-cursos-de-graduacao-do-instituto-federal-de-educacao-ciencia-e-tecnologia-do-sudeste-de-minas-gerais-campus-barbacena-1/edital-16-membros-discentes-do-colegiado-2023.pdf/view
